hr,ps,pov,ur,pov19,psmedian,povps,log10ps
11.2,587,16.5,6.1999998,-2.5,0,0,2.7686381
13.4,643,20.5,6.4000001,1.5,0,0,2.8082111
40.700001,635,26.299999,9.3000002,7.2999992,0,0,2.8027737
5.3000002,692,16.5,5.3000002,-2.5,0,0,2.840106
24.799999,1248,19.200001,7.3000002,.20000076,1,.20000076,3.0962145
12.7,643,16.5,5.9000001,-2.5,0,0,2.8082111
20.9,1964,20.200001,6.4000001,1.2000008,1,1.2000008,3.2931414
35.700001,1531,21.299999,7.5999999,2.2999992,1,2.2999992,3.1849751
8.6999998,713,17.200001,4.9000001,-1.7999992,0,0,2.8530896
9.6000004,749,14.3,6.4000001,-4.6999998,1,-4.6999998,2.8744819
16.5,7895,19.1,7,.10000038,1,.10000038,3.8973522
26.9,762,23.1,7.4000001,4.1000004,1,4.1000004,2.8819549
15.7,2793,19.1,5.8000002,.10000038,1,.10000038,3.4460709
36.200001,741,24.700001,8.6000004,5.7000008,0,0,2.8698182
18.1,625,18.6,6.5,-.39999962,0,0,2.7958801
28.9,854,24.9,8.3000002,5.8999996,1,5.8999996,2.9314578
14.9,716,17.9,6.6999998,-1.1000004,0,0,2.854913
25.799999,921,22.4,8.6000004,3.3999996,1,3.3999996,2.9642596
21.700001,595,20.200001,8.3999996,1.2000008,0,0,2.7745171
25.700001,3353,16.9,6.6999998,-2.1000004,1,-2.1000004,3.5254335
